letter,term,important,sports,ap,definition
A,"abbreviations and acronyms ",true,false,false,"Do not put an abbreviation in parentheses on any reference. Avoid overuse of acronyms so the story isn’t alphabet soup. Try the club, the council, etc.
Use periods if the abbreviation is fewer than three letters: U.S., U.N.
Wrong: The Student Government Association (SGA) did something.
Do not abbreviate names of cities, except in quoted material or headlines. When you do, use periods: He went back to L.A.
Do not abbreviate names of states, unless it’s used for party affiliation: I was living in Brandon, Florida. I got to meet Sen. Marco Rubio (R-Fla.).
Always: Use abbreviations of well-known organizations with long names in ledes (SGA, DOTS, MaryPIRG, RHA, NAACP, etc.). Spell out on second reference and use the abbreviation on all other references:
The SGA elections took an unexpected turn, as the New Party swept all offices.
This is the first time in Student Government Association history that the New Party has won the majority vote.
“It’s a historic day,” said outgoing SGA president Jonathan Allen.
See (AP) datelines, LEGISLATIVE TITLES
"
A,"about, around ",true,false,false,"Not interchangeable. Do not use approximately. Do not say roughly. Use about for quantities and time:
At about 2 a.m., the 7-Eleven was robbed. There were about 50 students at the rally.
Use around when referring to spaces:
“He walked around the campus.”
"
A,"academic deans
",false,false,false,"Each college and school has a dean, who reports to the provost. When referring to a dean, use the title as listed in the faculty/staff directory. Use your own discretion with wordy titles. Capitalize dean when it is used before a name.
See colleges
"
A,"academic degrees ",false,false,true,"Use for those who earned a doctoral degree before their names on first reference, unless they request for it not to be used. This is usually up to the source’s preference, so use your discretion. 
It’s bachelor’s degree, master’s degree and a doctorate. Don’t use M.S., B.S., etc. Don’t use master’s student; call them graduate students. Use doctorate instead of Ph.D. Someone is a doctoral student, not a doctoral candidate. Use masters of business administration on all references for MBA. 
For graduate students: Rina Torchinsky, a computer science graduate student.
For doctoral students: Jenn Attanasio, a mechanical engineering doctoral student.
For postdoctorates: Rachel Hunt, a postdoctorate studying mechanical engineering.
See professor
"
A,"academic departments ",true,false,false,"Lowercase unless the department name is a proper noun. Always take out the preposition “of.”
Wrong: Department of Physics, Physics department, department of English
Right: English department, physics department
"
A,"academic year ",true,false,false,"Never use school year. Academic year begins with the first day of classes in the fall semester and ends with spring commencement. Always abbreviate the second year: the 2017-18 academic year, not the 2017-2018 academic year. The exception is years that span multiple centuries: the 1999-2000 academic year.
This academic year or the current academic year are acceptable in reference to the 2021-22 academic year. For other years, use the numerals, and avoid next or last.
"
A,"Academy for Innovation and Entrepreneurship, the
",false,false,false,"An initiative created by the university in 2013 to “ignite the entrepreneurial spirit throughout campus.” Use the full name on first reference and the academy thereafter.
"
A,"ACC, the
",false,false,false,"Use ACC on all references to the Atlantic Coast Conference, which this university was a member of between 1953 and July 1, 2014.
"
A,"accent marks ",true,false,false,"Don’t use unless in a proper noun, such as a company name, business name, town/city name or person’s name.
DBK en Español is (obviously) an exception, or when quoting in Spanish.
See addendums | âççéñts
"
A,"act, bill, law, statute
",false,false,false,"A bill is a piece of proposed legislation. It remains a bill until it is passed by a legislature and becomes an act. When an act is signed by an executive — the president, governor, county executive, etc. — it becomes a law. A statute must be passed by the legislature.
Capitalize legislative acts, but not bills: the Taft-Hartley Act, the improved mini-dorm bill.
Measure or mandate may be used to mean bill or proposed legislation but do not mean law.
"
